"编号","开始答题时间","结束答题时间","答题时长","1.您的身份（必填）","2.您所在的书院（本科生）/院系（硕博及教工）（必填）","3.以下问题的提问范围是【2025年春季学期】（必填）","4.您的住宿地点（必填）","5.您工作日的通勤和经常前往的地点（必填）:第一二科研楼","5.您工作日的通勤和经常前往的地点（必填）:第一教学楼","5.您工作日的通勤和经常前往的地点（必填）:南科大中心","5.您工作日的通勤和经常前往的地点（必填）:一丹图书馆","5.您工作日的通勤和经常前往的地点（必填）:商学院","5.您工作日的通勤和经常前往的地点（必填）:第三教学楼","5.您工作日的通勤和经常前往的地点（必填）:理学院","5.您工作日的通勤和经常前往的地点（必填）:一号门","5.您工作日的通勤和经常前往的地点（必填）:校外","5.您工作日的通勤和经常前往的地点（必填）:工学院南楼","5.您工作日的通勤和经常前往的地点（必填）:工学院南楼","5.您工作日的通勤和经常前往的地点（必填）:二号门","5.您工作日的通勤和经常前往的地点（必填）:理学院","5.您工作日的通勤和经常前往的地点（必填）:第一二科研楼","5.您工作日的通勤和经常前往的地点（必填）:行政楼","5.您工作日的通勤和经常前往的地点（必填）:琳恩图书馆","5.您工作日的通勤和经常前往的地点（必填）:六号门","5.您工作日的通勤和经常前往的地点（必填）:工学院北楼","5.您工作日的通勤和经常前往的地点（必填）:第三科研楼","5.您工作日的通勤和经常前往的地点（必填）:涵泳图书馆","5.您工作日的通勤和经常前往的地点（必填）:生物楼","5.您工作日的通勤和经常前往的地点（必填）:台州楼","5.您工作日的通勤和经常前往的地点（必填）:第二教学楼","5.您工作日的通勤和经常前往的地点（必填）:检测中心","5.您工作日的通勤和经常前往的地点（必填）:商学院","5.您工作日的通勤和经常前往的地点（必填）:行政楼","5.您工作日的通勤和经常前往的地点（必填）:慧园","5.您工作日的通勤和经常前往的地点（必填）:创园","5.您工作日的通勤和经常前往的地点（必填）:体育场北","5.您工作日的通勤和经常前往的地点（必填）:社康中心","5.您工作日的通勤和经常前往的地点（必填）:风雨操场","5.您工作日的通勤和经常前往的地点（必填）:生物楼","5.您工作日的通勤和经常前往的地点（必填）:教师公寓","5.您工作日的通勤和经常前往的地点（必填）:专家公寓","5.您工作日的通勤和经常前往的地点（必填）:体育场南","5.您工作日的通勤和经常前往的地点（必填）:慧园","5.您工作日的通勤和经常前往的地点（必填）:工学院北楼","5.您工作日的通勤和经常前往的地点（必填）:办公楼","5.您工作日的通勤和经常前往的地点（必填）:人文社科学院","5.您工作日的通勤和经常前往的地点（必填）:社康中心","5.您工作日的通勤和经常前往的地点（必填）:学院在南山智园在校外！！！！！","5.您工作日的通勤和经常前往的地点（必填）:教师公寓","5.您工作日的通勤和经常前往的地点（必填）:工学院 一号门","5.您工作日的通勤和经常前往的地点（必填）:办公楼","5.您工作日的通勤和经常前往的地点（必填）:湖畔宿舍","5.您工作日的通勤和经常前往的地点（必填）:荔园","5.您工作日的通勤和经常前往的地点（必填）:荔园、欣园、五号门","5.您工作日的通勤和经常前往的地点（必填）:集悦城","5.您工作日的通勤和经常前往的地点（必填）:高新园","5.您工作日的通勤和经常前往的地点（必填）:欣园","5.您工作日的通勤和经常前往的地点（必填）:荔园南站","5.您工作日的通勤和经常前往的地点（必填）:人文社科中心","5.您工作日的通勤和经常前往的地点（必填）:南山智园崇文园区","5.您工作日的通勤和经常前往的地点（必填）:校外 南山智园C1栋","5.您工作日的通勤和经常前往的地点（必填）:三号门","5.您工作日的通勤和经常前往的地点（必填）:棒球场","5.您工作日的通勤和经常前往的地点（必填）:学生宿舍10栋","5.您工作日的通勤和经常前往的地点（必填）:从慧园到一号门","5.您工作日的通勤和经常前往的地点（必填）:教工","5.您工作日的通勤和经常前往的地点（必填）:科研楼","5.您工作日的通勤和经常前往的地点（必填）:第二","5.您工作日的通勤和经常前往的地点（必填）:慧园-科研楼","5.您工作日的通勤和经常前往的地点（必填）:工学院一号门","5.您工作日的通勤和经常前往的地点（必填）:一号门 第一科研楼 工学院北楼","5.您工作日的通勤和经常前往的地点（必填）:一号门-慧园","5.您工作日的通勤和经常前往的地点（必填）:中心食堂","5.您工作日的通勤和经常前往的地点（必填）:教工餐厅","5.您工作日的通勤和经常前往的地点（必填）:南山智园","5.您工作日的通勤和经常前往的地点（必填）:工学院 一号门 学生宿舍","5.您工作日的通勤和经常前往的地点（必填）:工学院","5.您工作日的通勤和经常前往的地点（必填）:一号门和工学院","5.您工作日的通勤和经常前往的地点（必填）:七号门","5.您工作日的通勤和经常前往的地点（必填）:学生宿舍","6.您非工作日经常前往的地点（必填）:理学院","6.您非工作日经常前往的地点（必填）:一号门","6.您非工作日经常前往的地点（必填）:校外","6.您非工作日经常前往的地点（必填）:工学院南楼","6.您非工作日经常前往的地点（必填）:第一二科研楼","6.您非工作日经常前往的地点（必填）:第一教学楼","6.您非工作日经常前往的地点（必填）:南科大中心","6.您非工作日经常前往的地点（必填）:一丹图书馆","6.您非工作日经常前往的地点（必填）:六号门","6.您非工作日经常前往的地点（必填）:理学院","6.您非工作日经常前往的地点（必填）:第一二科研楼","6.您非工作日经常前往的地点（必填）:工学院北楼","6.您非工作日经常前往的地点（必填）:第三科研楼","6.您非工作日经常前往的地点（必填）:涵泳图书馆","6.您非工作日经常前往的地点（必填）:商学院","6.您非工作日经常前往的地点（必填）:第三教学楼","6.您非工作日经常前往的地点（必填）:二号门","6.您非工作日经常前往的地点（必填）:生物楼","6.您非工作日经常前往的地点（必填）:台州楼","6.您非工作日经常前往的地点（必填）:第二教学楼","6.您非工作日经常前往的地点（必填）:检测中心","6.您非工作日经常前往的地点（必填）:行政楼","6.您非工作日经常前往的地点（必填）:琳恩图书馆","6.您非工作日经常前往的地点（必填）:行政楼","6.您非工作日经常前往的地点（必填）:慧园","6.您非工作日经常前往的地点（必填）:创园","6.您非工作日经常前往的地点（必填）:体育场北","6.您非工作日经常前往的地点（必填）:社康中心","6.您非工作日经常前往的地点（必填）:风雨操场","6.您非工作日经常前往的地点（必填）:教师公寓","6.您非工作日经常前往的地点（必填）:专家公寓","6.您非工作日经常前往的地点（必填）:体育场南","6.您非工作日经常前往的地点（必填）:工学院北楼","6.您非工作日经常前往的地点（必填）:社康中心","6.您非工作日经常前往的地点（必填）:办公楼","6.您非工作日经常前往的地点（必填）:人文社科学院","6.您非工作日经常前往的地点（必填）:商学院","6.您非工作日经常前往的地点（必填）:生物楼","6.您非工作日经常前往的地点（必填）:慧园","6.您非工作日经常前往的地点（必填）:工学院南楼","6.您非工作日经常前往的地点（必填）:工学院一号门","6.您非工作日经常前往的地点（必填）:教师公寓","6.您非工作日经常前往的地点（必填）:办公楼","6.您非工作日经常前往的地点（必填）:湖畔宿舍","6.您非工作日经常前往的地点（必填）:荔园","6.您非工作日经常前往的地点（必填）:福田","6.您非工作日经常前往的地点（必填）:崇文智园（希望下学期还有到智园的车）","6.您非工作日经常前往的地点（必填）:校外 南山智园C1栋","6.您非工作日经常前往的地点（必填）:欣园","6.您非工作日经常前往的地点（必填）:学生宿舍10栋","6.您非工作日经常前往的地点（必填）:二期宿舍","6.您非工作日经常前往的地点（必填）:学生宿舍一号门","6.您非工作日经常前往的地点（必填）:一号门-慧园","6.您非工作日经常前往的地点（必填）:中心食堂","6.您非工作日经常前往的地点（必填）:教工餐厅","6.您非工作日经常前往的地点（必填）:南山智园","6.您非工作日经常前往的地点（必填）:工学院","6.您非工作日经常前往的地点（必填）:一号门和工学院","6.您非工作日经常前往的地点（必填）:七号门","6.您非工作日经常前往的地点（必填）:学生宿舍","7.您在 25 年春期有乘坐过校园巴士吗（必填）","8.在工作日，您的平均每天乘车频率（必填）","9.在周末及节假日，您的平均每天乘车频率（必填）","10.您认为校巴的发车密度如何（必填）-工作日","11.您认为校巴的发车密度如何（必填）-周末及节假日","12.总体来说，您对校巴服务是否满意（必填）","13.您在校内有个人交通工具吗（必填）","14.您在校内远距离移动时一般使用什么交通工具（必填）:电动自行车","14.您在校内远距离移动时一般使用什么交通工具（必填）:步行","14.您在校内远距离移动时一般使用什么交通工具（必填）:校巴","14.您在校内远距离移动时一般使用什么交通工具（必填）:自行车","14.您在校内远距离移动时一般使用什么交通工具（必填）:自行车","14.您在校内远距离移动时一般使用什么交通工具（必填）:借别人电动车","14.您在校内远距离移动时一般使用什么交通工具（必填）:校巴","14.您在校内远距离移动时一般使用什么交通工具（必填）:步行","14.您在校内远距离移动时一般使用什么交通工具（必填）:借电动车","14.您在校内远距离移动时一般使用什么交通工具（必填）:借朋友的自行车","14.您在校内远距离移动时一般使用什么交通工具（必填）:蹭别人的电动车","14.您在校内远距离移动时一般使用什么交通工具（必填）:机动车","14.您在校内远距离移动时一般使用什么交通工具（必填）:借同学的车","14.您在校内远距离移动时一般使用什么交通工具（必填）:天气因素影响很大","15.您认为目前校内的非机动车数量相比学校设施承载量如何（必填）","16.您使用个人交通工具出行的体验是否满意（必填）","17.您对于 2025.07 的本次校巴服务调整总体上是否满意（必填）","18.您对本次调整引入的穿梭电瓶车服务看法如何（必填）","19.您认为调整后，校巴的发车密度如何（必填）-校巴/工作日","20.您认为调整后，校巴的发车密度如何（必填）-校巴/周末及节假日","21.您认为调整后，校巴的发车密度如何（必填）-穿梭电瓶车","22.校巴减少班次是否会让您考虑购买非机动车（必填）","23.假如通过收费，校园巴士能增加班次，您支持吗（必填）","24.若收费，您可以接受的价格是（元/单程 或 元/60分钟）（必填）","25.您对【2025 年春期】的校巴服务满意/不满意的点","26.您在【2025 年春期】使用个人交通工具出行时，主要满意/不满意的点","27.您对【本次调整后】校园巴士最新的线路和时间表方案满意/不满意的点，和其他意见建议","28.提交者（自动）","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"335","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","A.本科生","树礼书院","A.好的","B.二期宿舍 11-17 栋","A.第一二科研楼","B.第一教学楼","C.南科大中心","D.一丹图书馆","","","G. 理学院","H.一号门","I.校外","","","","M.理学院","N. 第一二科研楼","O.行政楼","P.琳恩图书馆","Q.六号门","","","","","","","","","Z. 行政楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","","","","","","","J. 理学院","","L. 工学院北楼","M.第三科研楼","N.涵泳图书馆","","","","","","","","","","","","","","","","","","","AG.工学院北楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.是","B.1-2 次","B.1-2 次","B.合理","C.偏少","A.比较满意","B.没有","","B. 步行","","","","","","H.步行","","","","","","","B.过多","","B.非常不满意","D.不应引入电瓶车","B.太少","A.太少","B.太少","A.是","A.不支持","","","","","ccw","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"333","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","B.硕博生","生科院","A.好的","D.欣园","A.第一二科研楼","B.第一教学楼","C.南科大中心","D.一丹图书馆","","","G. 理学院","H.一号门","I.校外","","","","M.理学院","N. 第一二科研楼","","","Q.六号门","","","","U. 生物楼","V.台州楼","W.第二教学楼","X.检测中心","","","","","","","","AF.生物楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","","E.第一二科研楼","F.第一教学楼","G.南科大中心","H.一丹图书馆","I.六号门","J. 理学院","K. 第一二科研楼","","","","","","","R. 生物楼","S.台州楼","T.第二教学楼","U.检测中心","","","","","","","","","","","","","","","","","AL.生物楼","","","","","","","","","","","","","","","","","","","","","","","A.是","D.3-4 次","D.3-4 次","B.合理","B.太少","D.一般","B.没有","","","C.校巴","","","","G. 校巴","","","","","","","","C.合适","","B.非常不满意","D.不应引入电瓶车","B.太少","A.太少","B.太少","B.否","A.不支持","","电瓶车下雨乘坐会淋湿，班次太少，发车频次太少","","应合理安排发车频次","早睡早起不🐰","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"329","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","B.硕博生","自动化与智能制造学院","A.好的","D.欣园","","","","","","","G. 理学院","H.一号门","I.校外","","","","M.理学院","","","","","","","","","","","","","","AA. 慧园","AB.创园","AC.体育场北","","","","","","","AJ.慧园","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","","","","","","","J. 理学院","","","","","","","","","","","","","","","Y. 慧园","Z.创园","AA.体育场北","","","","","","","","","","","","AM.慧园","","","","","","","","","","","","","","","","","","","","","","A.是","B.1-2 次","B.1-2 次","B.合理","C.偏少","D.一般","C.有自行车","","","C.校巴","","","","G. 校巴","","","","","","","","A.较少","D.一般","B.非常不满意","A.支持使用电瓶车作为校巴服务的补充","A.偏少","A.太少","A.偏少","","B.支持","V.0.5，1","","","","Jeepa","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"328","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","B.硕博生","数学系","A.好的","F.二期宿舍 7-10 栋","","","","","","","G. 理学院","H.一号门","I.校外","J. 工学院南楼","K.工学院南楼","","M.理学院","","","","","R. 工学院北楼","S.第三科研楼","T.涵泳图书馆","","","","","","","","","","","","","","","","","AK.工学院北楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","D. 工学院南楼","","","","","","J. 理学院","","L. 工学院北楼","M.第三科研楼","N.涵泳图书馆","","","","","","","","","","","","","","","","","","","AG.工学院北楼","","","","","","","AN.工学院南楼","","","","","","","","","","","","","","","","","","","","","A.是","B.1-2 次","B.1-2 次","B.合理","C.偏少","A.比较满意","B.没有","","","C.校巴","","","","G. 校巴","","","","","","","","C.合适","","B.非常不满意","A.支持使用电瓶车作为校巴服务的补充","A.偏少","A.太少","C.合适","B.否","A.不支持","","","","","little fox","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"327","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","B.硕博生","化学系博","A.好的","F.二期宿舍 7-10 栋","","","","","","","G. 理学院","H.一号门","I.校外","","","","M.理学院","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","","E.第一二科研楼","F.第一教学楼","G.南科大中心","H.一丹图书馆","I.六号门","J. 理学院","K. 第一二科研楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.是","B.1-2 次","B.1-2 次","C.偏多","A.合理","B.非常满意","B.没有","","","C.校巴","","","","G. 校巴","","","","","","","","C.合适","","B.非常不满意","A.支持使用电瓶车作为校巴服务的补充","C.合适","A.太少","C.合适","A.是","A.不支持","","","","","Mt. Eerie","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"322","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","B.硕博生","工学院","A.好的","F.二期宿舍 7-10 栋","A.第一二科研楼","B.第一教学楼","C.南科大中心","D.一丹图书馆","","","","","","","","","","N. 第一二科研楼","","","Q.六号门","R. 工学院北楼","S.第三科研楼","T.涵泳图书馆","","","","","","","AA. 慧园","AB.创园","AC.体育场北","","","","","","","AJ.慧园","AK.工学院北楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","","E.第一二科研楼","F.第一教学楼","G.南科大中心","H.一丹图书馆","I.六号门","J. 理学院","K. 第一二科研楼","L. 工学院北楼","M.第三科研楼","N.涵泳图书馆","","","","","","","","","","","Y. 慧园","Z.创园","AA.体育场北","","","","","","AG.工学院北楼","","","","","","AM.慧园","","","","","","","","","","","","","","","","","","","","","","A.是","A.只在下雨/恶劣天气/搬运重物等必要时乘坐","C.只在下雨/恶劣天气/搬运重物等必要时乘坐","B.合理","C.偏少","D.一般","A.有电动自行车","A.电动自行车","","","","","","","","","","","","","","B.过多","A.比较满意","C.一般","C.支持使用电瓶车替代部分校巴服务","C.合适","A.太少","B.太少","","A.不支持","","","","","热爱","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"320","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","B.硕博生","化学系","A.好的","D.欣园","A.第一二科研楼","B.第一教学楼","C.南科大中心","D.一丹图书馆","","","G. 理学院","H.一号门","I.校外","","","","M.理学院","N. 第一二科研楼","","","Q.六号门","R. 工学院北楼","S.第三科研楼","T.涵泳图书馆","","","","","","","AA. 慧园","AB.创园","AC.体育场北","","","","","","","AJ.慧园","AK.工学院北楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","","","","","","","J. 理学院","","L. 工学院北楼","M.第三科研楼","N.涵泳图书馆","","","","","","","","","","","Y. 慧园","Z.创园","AA.体育场北","","","","","","AG.工学院北楼","","","","","","AM.慧园","","","","","","","","","","","","","","","","","","","","","","A.是","B.1-2 次","D.3-4 次","B.合理","A.合理","A.比较满意","B.没有","","","C.校巴","","","","G. 校巴","","","","","","","","B.过多","","B.非常不满意","D.不应引入电瓶车","B.太少","A.太少","B.太少","A.是","B.支持","C.按周/月收费","","","","Xenogenesis","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"311","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","B.硕博生","电子与电气工程","A.好的","B.二期宿舍 11-17 栋","A.第一二科研楼","B.第一教学楼","C.南科大中心","D.一丹图书馆","","","G. 理学院","H.一号门","I.校外","J. 工学院南楼","K.工学院南楼","","M.理学院","N. 第一二科研楼","O.行政楼","P.琳恩图书馆","Q.六号门","R. 工学院北楼","S.第三科研楼","T.涵泳图书馆","","","","","","Z. 行政楼","","","","","","","","","","","AK.工学院北楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","D. 工学院南楼","E.第一二科研楼","F.第一教学楼","G.南科大中心","H.一丹图书馆","I.六号门","J. 理学院","K. 第一二科研楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AN.工学院南楼","","","","","","","","","","","","","","","","","","","","","A.是","B.1-2 次","B.1-2 次","B.合理","C.偏少","A.比较满意","B.没有","","","C.校巴","","","","G. 校巴","","","","","","","","C.合适","","A.比较不满意","A.支持使用电瓶车作为校巴服务的补充","B.太少","A.太少","B.太少","A.是","A.不支持","","","","","！","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"306","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","B.硕博生","商学院","A.好的","F.二期宿舍 7-10 栋","A.第一二科研楼","B.第一教学楼","C.南科大中心","D.一丹图书馆","E. 商学院","F.第三教学楼","","","","","","L.二号门","","N. 第一二科研楼","","","Q.六号门","","","","","","","","Y.商学院","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E.第一二科研楼","F.第一教学楼","G.南科大中心","H.一丹图书馆","I.六号门","","K. 第一二科研楼","","","","O. 商学院","P.第三教学楼","Q.二号门","","","","","","","","","","","","","","","","","","","","AK.商学院","","","","","","","","","","","","","","","","","","","","","","","","A.是","B.1-2 次","C.只在下雨/恶劣天气/搬运重物等必要时乘坐","B.合理","C.偏少","A.比较满意","A.有电动自行车","A.电动自行车","","","","","","","","","","","","","","B.过多","A.比较满意","A.比较不满意","A.支持使用电瓶车作为校巴服务的补充","A.偏少","A.太少","A.偏少","","A.不支持","","","","","prymZ","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"304","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","B.硕博生","电子系","A.好的","F.二期宿舍 7-10 栋","","","","","","","","","","J. 工学院南楼","K.工学院南楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","","","","","","","J. 理学院","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.是","B.1-2 次","D.3-4 次","B.合理","A.合理","A.比较满意","B.没有","","","C.校巴","","","","G. 校巴","","","","","","","","B.过多","","B.非常不满意","D.不应引入电瓶车","B.太少","A.太少","B.太少","A.是","B.支持","E.0.5","满意","","究竟是什么天才能想出来这种新计划？","Cgq","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"303","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","A.本科生","树礼书院","A.好的","B.二期宿舍 11-17 栋","A.第一二科研楼","B.第一教学楼","C.南科大中心","D.一丹图书馆","E. 商学院","F.第三教学楼","","","","","","L.二号门","","N. 第一二科研楼","O.行政楼","P.琳恩图书馆","Q.六号门","","","","","","","","Y.商学院","Z. 行政楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","","","","","","","J. 理学院","","","","","","","","","","","","V. 行政楼","W.琳恩图书馆","X.行政楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.是","D.3-4 次","D.3-4 次","C.偏多","A.合理","B.非常满意","B.没有","","","C.校巴","","","","G. 校巴","","","","","","","","B.过多","","C.一般","A.支持使用电瓶车作为校巴服务的补充","C.合适","A.太少","A.偏少","B.否","B.支持","AK.1，0.5，按周/月收费，学校裁校巴大概率是因为预算不足，如果真是如此，我建议发个水滴筹之类的东西，由大家众筹把这块预算缺口补上","","","周末班次实在太少了，绝对不合理。至于其他时段，我觉得可以问问大家的看法，每个人对不同时段校巴的需求和理解不太一样","中国梦，我的梦","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"302","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","B.硕博生","工学院","A.好的","F.二期宿舍 7-10 栋","","","","","","","","","","J. 工学院南楼","K.工学院南楼","","","","","","","","","","","","","","","","","","","AD. 社康中心","AE.风雨操场","","AG. 教师公寓","AH.专家公寓","AI.体育场南","","","","","AN.社康中心","","AP.教师公寓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","D. 工学院南楼","","","","","","J. 理学院","","","","","","","","","","","","","","","","","","AB. 社康中心","AC.风雨操场","AD. 教师公寓","AE.专家公寓","AF.体育场南","","AH.社康中心","","","","","","AN.工学院南楼","","AP.教师公寓","","","","","","","","","","","","","","","","","","","A.是","A.只在下雨/恶劣天气/搬运重物等必要时乘坐","C.只在下雨/恶劣天气/搬运重物等必要时乘坐","B.合理","A.合理","A.比较满意","A.有电动自行车","A.电动自行车","","","","","","","","","","","","","","B.过多","A.比较满意","B.非常不满意","A.支持使用电瓶车作为校巴服务的补充","B.太少","A.太少","B.太少","","A.不支持","","","","","小鱼鳍","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"292","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","B.硕博生","理学院","A.好的","C.荔园","","","","","","","G. 理学院","H.一号门","I.校外","","","","M.理学院","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","","","","","","","J. 理学院","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.是","E.5 次及以上","D.3-4 次","D.太少","B.太少","C.比较不满意","B.没有","","","C.校巴","","","","G. 校巴","","","","","","","","B.过多","","B.非常不满意","D.不应引入电瓶车","B.太少","A.太少","B.太少","A.是","A.不支持","","","","","止步；起舞","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"283","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","A.本科生","致仁书院/深港微电子学院","A.好的","C.荔园","A.第一二科研楼","B.第一教学楼","C.南科大中心","D.一丹图书馆","E. 商学院","F.第三教学楼","","","","","","L.二号门","","N. 第一二科研楼","O.行政楼","P.琳恩图书馆","Q.六号门","","","","","","","","Y.商学院","Z. 行政楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","","","","","","","J. 理学院","","","","","","","","","","","","V. 行政楼","W.琳恩图书馆","X.行政楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.是","E.5 次及以上","B.1-2 次","B.合理","A.合理","D.一般","B.没有","","","C.校巴","","","","G. 校巴","","","","","","","","B.过多","","B.非常不满意","D.不应引入电瓶车","B.太少","A.太少","A.偏少","A.是","B.支持","C.按周/月收费","","","","F.F","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"281","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","B.硕博生","工学院","A.好的","D.欣园","","","","","","","G. 理学院","H.一号门","I.校外","","","","M.理学院","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","","","","","","","J. 理学院","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.是","E.5 次及以上","E.5 次及以上","D.太少","B.太少","E.非常不满意","B.没有","","","C.校巴","","","","G. 校巴","","","","","","","","B.过多","","B.非常不满意","A.支持使用电瓶车作为校巴服务的补充","B.太少","A.太少","B.太少","A.是","B.支持","D.1","","","","Without","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"271","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","B.硕博生","机械与能源系","A.好的","D.欣园","","","","","","","G. 理学院","H.一号门","I.校外","","","","M.理学院","","","","","R. 工学院北楼","S.第三科研楼","T.涵泳图书馆","","","","","","","","","","","","","","","","","AK.工学院北楼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","","","","","","","J. 理学院","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.是","B.1-2 次","D.3-4 次","A.偏少","B.太少","C.比较不满意","C.有自行车","","","","D.自行车","E. 自行车","","","","","","","","","","A.较少","B.比较不满意","D.比较满意","D.不应引入电瓶车","B.太少","A.太少","B.太少","","A.不支持","","","","","凯里欧文儿","","手动标记（无效）","","未知","","","","127.0.0.1","","",
"270","05-Jul-2025 21:00:42","05-Jul-2025 21:00:42","0","B.硕博生","微电子","A.好的","B.二期宿舍 11-17 栋","A.第一二科研楼","B.第一教学楼","C.南科大中心","D.一丹图书馆","","","G. 理学院","H.一号门","I.校外","","","","M.理学院","N. 第一二科研楼","","","Q.六号门","","","","","","","","","","","","","","","","AG. 教师公寓","AH.专家公寓","AI.体育场南","","","","","","","AP.教师公寓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.理学院","B.一号门","C.校外","","","","","","","J. 理学院","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A.是","B.1-2 次","D.3-4 次","A.偏少","C.偏少","C.比较不满意","B.没有","","","C.校巴","","","","G. 校巴","","","","","","","","B.过多","","B.非常不满意","A.支持使用电瓶车作为校巴服务的补充","B.太少","A.太少","A.偏少","A.是","A.不支持","","","","","潜心凝炼厨艺","","手动标记（无效）","","未知","","","","127.0.0.1","","",
