"编号","开始答题时间","结束答题时间","答题时长","1.这一周的课上，你听老师讲得怎么样？","2.什么样的老师做法最能让你专心？","3.什么情况最容易让你分心？","4.什么会让你变得认真？","5.老师听完同学回答后，会怎样？","6.老师听完同学回答后，这会让你怎样？","7.老师提醒你专心时，你最喜欢哪种方式？","8.老师说哪种话最能让你精神变好？","9.你觉得这门课的课堂更像下面哪一种？","10.什么时候你最容易专心？","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"29","09-Dec-2025 15:32:33","09-Dec-2025 15:32:53","20","A.很认真，一直在听","C.老师讲得生动、有趣","E.老师说话很严厉","C.有比赛、积分、奖励","B.表扬一下，再继续讲","A.更认真","B.老师走到我桌边轻轻提醒","C.有趣、好玩的笑话或比喻","C.轻松有趣，有笑声","A.上课刚开始","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"28","09-Dec-2025 15:31:28","09-Dec-2025 15:32:27","59","A.很认真，一直在听","C.老师讲得生动、有趣","A.老师一直读PPT/书，不互动","A.觉得内容有趣","B.表扬一下，再继续讲","A.更认真","A.老师用声音提醒","B.让我动脑的问题","B.大家安静听老师讲","A.上课刚开始","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"27","09-Dec-2025 15:17:32","09-Dec-2025 15:19:18","106","B.比较认真，偶尔走神","A.老师问有点难的问题","C.老师讲得太快","A.觉得内容有趣","C.再问问题或让别人补充","A.更认真","D.老师叫我名字问简单问题","D.讲这个知识生活里怎么用","D.有点紧张，要一直很专心","C.小组讨论、合作时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.243","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"26","09-Dec-2025 15:15:43","09-Dec-2025 15:17:18","95","A.很认真，一直在听","B.老师会突然点名","A.老师一直读PPT/书，不互动","D.有任务要完成","C.再问问题或让别人补充","A.更认真","D.老师叫我名字问简单问题","A.夸我、鼓励我的话","A.大家爱发言、爱讨论","D.做练习、动手操作时","简体中文","未清洗","","中国","广东省","深圳市","","2001:da8:201d:1109::f5c4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"25","09-Dec-2025 15:15:40","09-Dec-2025 15:15:54","14","A.很认真，一直在听","C.老师讲得生动、有趣","A.老师一直读PPT/书，不互动","A.觉得内容有趣","C.再问问题或让别人补充","B.没什么影响","A.老师用声音提醒","A.夸我、鼓励我的话","B.大家安静听老师讲","B.老师讲重要新知识时","简体中文","未清洗","","中国","广东省","深圳市","","2001:da8:201d:1109::d13b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"24","09-Dec-2025 15:15:21","09-Dec-2025 15:15:35","14","A.很认真，一直在听","C.老师讲得生动、有趣","D.课堂太安静、有点闷","A.觉得内容有趣","C.再问问题或让别人补充","A.更认真","A.老师用声音提醒","B.让我动脑的问题","C.轻松有趣，有笑声","B.老师讲重要新知识时","简体中文","未清洗","","中国","广东省","深圳市","","2001:da8:201d:1109::d13b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"23","09-Dec-2025 15:14:09","09-Dec-2025 15:15:29","80","A.很认真，一直在听","C.老师讲得生动、有趣","D.课堂太安静、有点闷","A.觉得内容有趣","B.表扬一下，再继续讲","A.更认真","B.老师走到我桌边轻轻提醒","B.让我动脑的问题","C.轻松有趣，有笑声","B.老师讲重要新知识时","简体中文","未清洗","","中国","广东省","深圳市","","2001:da8:201d:1109::f5c4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"22","09-Dec-2025 15:15:04","09-Dec-2025 15:15:17","13","A.很认真，一直在听","C.老师讲得生动、有趣","A.老师一直读PPT/书，不互动","A.觉得内容有趣","C.再问问题或让别人补充","A.更认真","","","","","简体中文","未清洗","","中国","广东省","深圳市","","2001:da8:201d:1109::d13b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"21","09-Dec-2025 15:14:41","09-Dec-2025 15:14:59","18","A.很认真，一直在听","C.老师讲得生动、有趣","D.课堂太安静、有点闷","B.喜欢老师，老师会夸我","C.再问问题或让别人补充","A.更认真","B.老师走到我桌边轻轻提醒","A.夸我、鼓励我的话","A.大家爱发言、爱讨论","B.老师讲重要新知识时","简体中文","未清洗","","中国","广东省","深圳市","","2001:da8:201d:1109::d13b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"20","09-Dec-2025 15:14:15","09-Dec-2025 15:14:37","22","B.比较认真，偶尔走神","C.老师讲得生动、有趣","D.课堂太安静、有点闷","A.觉得内容有趣","C.再问问题或让别人补充","B.没什么影响","B.老师走到我桌边轻轻提醒","C.有趣、好玩的笑话或比喻","C.轻松有趣，有笑声","D.做练习、动手操作时","简体中文","未清洗","","中国","广东省","深圳市","","2001:da8:201d:1109::d13b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"19","09-Dec-2025 15:13:56","09-Dec-2025 15:14:11","15","B.比较认真，偶尔走神","C.老师讲得生动、有趣","D.课堂太安静、有点闷","E.同学们都很认真","C.再问问题或让别人补充","B.没什么影响","B.老师走到我桌边轻轻提醒","C.有趣、好玩的笑话或比喻","C.轻松有趣，有笑声","B.老师讲重要新知识时","简体中文","未清洗","","中国","广东省","深圳市","","2001:da8:201d:1109::d13b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"18","09-Dec-2025 15:12:40","09-Dec-2025 15:13:57","77","A.很认真，一直在听","C.老师讲得生动、有趣","A.老师一直读PPT/书，不互动","A.觉得内容有趣","C.再问问题或让别人补充","A.更认真","A.老师用声音提醒","D.讲这个知识生活里怎么用","A.大家爱发言、爱讨论","B.老师讲重要新知识时","简体中文","未清洗","","中国","广东省","深圳市","","2001:da8:201d:1109::f5c4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"17","09-Dec-2025 15:13:35","09-Dec-2025 15:13:51","16","B.比较认真，偶尔走神","C.老师讲得生动、有趣","B.老师讲得太慢","D.有任务要完成","C.再问问题或让别人补充","A.更认真","B.老师走到我桌边轻轻提醒","B.让我动脑的问题","B.大家安静听老师讲","B.老师讲重要新知识时","简体中文","未清洗","","中国","广东省","深圳市","","2001:da8:201d:1109::d13b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"16","09-Dec-2025 15:13:15","09-Dec-2025 15:13:30","15","A.很认真，一直在听","E.和同学一起动手、分组活动","A.老师一直读PPT/书，不互动","A.觉得内容有趣","C.再问问题或让别人补充","A.更认真","D.老师叫我名字问简单问题","D.讲这个知识生活里怎么用","A.大家爱发言、爱讨论","C.小组讨论、合作时","简体中文","未清洗","","中国","广东省","深圳市","","2001:da8:201d:1109::d13b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"15","09-Dec-2025 15:12:12","09-Dec-2025 15:13:08","56","A.很认真，一直在听","C.老师讲得生动、有趣","D.课堂太安静、有点闷","C.有比赛、积分、奖励","D.不太说什么，直接继续上课","B.没什么影响","C.老师问我旁边同学的问题","A.夸我、鼓励我的话","A.大家爱发言、爱讨论","D.做练习、动手操作时","简体中文","未清洗","","中国","广东省","深圳市","","2001:da8:201d:1109::d13b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"14","09-Dec-2025 15:09:22","09-Dec-2025 15:11:57","155","B.比较认真，偶尔走神","D.老师走到我旁边提醒我","D.课堂太安静、有点闷","A.觉得内容有趣","C.再问问题或让别人补充","A.更认真","A.老师用声音提醒","B.让我动脑的问题","C.轻松有趣，有笑声","D.做练习、动手操作时","简体中文","未清洗","","中国","广东省","深圳市","","2001:da8:201d:1109::f5c4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"13","09-Dec-2025 15:10:44","09-Dec-2025 15:10:56","12","B.比较认真，偶尔走神","E.和同学一起动手、分组活动","D.课堂太安静、有点闷","A.觉得内容有趣","C.再问问题或让别人补充","B.没什么影响","","","","","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"12","09-Dec-2025 15:09:49","09-Dec-2025 15:10:39","50","B.比较认真，偶尔走神","C.老师讲得生动、有趣","D.课堂太安静、有点闷","C.有比赛、积分、奖励","C.再问问题或让别人补充","B.没什么影响","D.老师叫我名字问简单问题","C.有趣、好玩的笑话或比喻","C.轻松有趣，有笑声","A.上课刚开始","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"11","09-Dec-2025 15:09:18","09-Dec-2025 15:09:45","27","A.很认真，一直在听","C.老师讲得生动、有趣","D.课堂太安静、有点闷","A.觉得内容有趣","C.再问问题或让别人补充","A.更认真","E.老师下课后轻轻告诉我","D.讲这个知识生活里怎么用","A.大家爱发言、爱讨论","A.上课刚开始","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"10","09-Dec-2025 15:08:49","09-Dec-2025 15:09:13","24","A.很认真，一直在听","C.老师讲得生动、有趣","A.老师一直读PPT/书，不互动","B.喜欢老师，老师会夸我","C.再问问题或让别人补充","B.没什么影响","C.老师问我旁边同学的问题","C.有趣、好玩的笑话或比喻","B.大家安静听老师讲","B.老师讲重要新知识时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"9","09-Dec-2025 15:05:08","09-Dec-2025 15:08:58","230","A.很认真，一直在听","C.老师讲得生动、有趣","A.老师一直读PPT/书，不互动","B.喜欢老师，老师会夸我","C.再问问题或让别人补充","A.更认真","D.老师叫我名字问简单问题","A.夸我、鼓励我的话","A.大家爱发言、爱讨论","B.老师讲重要新知识时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.243","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541510) XWEB/17071 Flue","",
"8","09-Dec-2025 15:08:18","09-Dec-2025 15:08:47","29","","","","","","","","","","","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Linux; Android 12; FOA-AL00 Build/HUAWEIFOA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.172 Mobile Safari/537.36 XWEB/1420045 MMWEBSDK/20251006 MMWEBID/5928 MicroMessenger/8.0.66.2980(0x28004234) WeChat/arm6","",
"7","09-Dec-2025 15:07:27","09-Dec-2025 15:07:52","25","B.比较认真，偶尔走神","C.老师讲得生动、有趣","E.老师说话很严厉","A.觉得内容有趣","C.再问问题或让别人补充","A.更认真","E.老师下课后轻轻告诉我","B.让我动脑的问题","A.大家爱发言、爱讨论","E.老师总结时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"6","09-Dec-2025 15:06:50","09-Dec-2025 15:07:23","33","A.很认真，一直在听","C.老师讲得生动、有趣","A.老师一直读PPT/书，不互动","B.喜欢老师，老师会夸我","B.表扬一下，再继续讲","A.更认真","B.老师走到我桌边轻轻提醒","A.夸我、鼓励我的话","C.轻松有趣，有笑声","B.老师讲重要新知识时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"5","09-Dec-2025 15:06:38","09-Dec-2025 15:07:08","30","A.很认真，一直在听","C.老师讲得生动、有趣","A.老师一直读PPT/书，不互动","A.觉得内容有趣","B.表扬一下，再继续讲","A.更认真","","","","","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Linux; Android 12; FOA-AL00 Build/HUAWEIFOA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.172 Mobile Safari/537.36 XWEB/1420045 MMWEBSDK/20251006 MMWEBID/5928 MicroMessenger/8.0.66.2980(0x28004234) WeChat/arm6","",
"4","09-Dec-2025 15:06:10","09-Dec-2025 15:06:44","34","A.很认真，一直在听","C.老师讲得生动、有趣","A.老师一直读PPT/书，不互动","A.觉得内容有趣","C.再问问题或让别人补充","A.更认真","D.老师叫我名字问简单问题","C.有趣、好玩的笑话或比喻","C.轻松有趣，有笑声","C.小组讨论、合作时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"3","09-Dec-2025 15:05:15","09-Dec-2025 15:06:03","48","B.比较认真，偶尔走神","C.老师讲得生动、有趣","C.老师讲得太快","A.觉得内容有趣","B.表扬一下，再继续讲","B.没什么影响","D.老师叫我名字问简单问题","C.有趣、好玩的笑话或比喻","C.轻松有趣，有笑声","C.小组讨论、合作时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"2","09-Dec-2025 15:04:58","09-Dec-2025 15:06:02","64","B.比较认真，偶尔走神","C.老师讲得生动、有趣","A.老师一直读PPT/书，不互动","C.有比赛、积分、奖励","C.再问问题或让别人补充","A.更认真","C.老师问我旁边同学的问题","C.有趣、好玩的笑话或比喻","A.大家爱发言、爱讨论","C.小组讨论、合作时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Linux; Android 12; FOA-AL00 Build/HUAWEIFOA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.172 Mobile Safari/537.36 XWEB/1420045 MMWEBSDK/20251006 MMWEBID/5928 MicroMessenger/8.0.66.2980(0x28004234) WeChat/arm6","",
"1","09-Dec-2025 15:03:55","09-Dec-2025 15:05:03","68","B.比较认真，偶尔走神","C.老师讲得生动、有趣","A.老师一直读PPT/书，不互动","D.有任务要完成","C.再问问题或让别人补充","A.更认真","D.老师叫我名字问简单问题","B.让我动脑的问题","C.轻松有趣，有笑声","C.小组讨论、合作时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
